Customer_ID,Gender,Age,Children,Contract_Type,Payment_Method,Account_Length_(in_months),Account_Length_(in years),Mins,Extra_International_Charges,Monthly_Charge,Customer_Service_Calls,Avg_Monthly_GB_Download,Unlimited_Data_Plan,Phone_Number,Device_Protection_&_Online_Backup,Virtual_Assistant,Churn_Reason,Churn_Label
0257-HLPO,Female,22.0,621.0,Two Year,Credit Card,,5.416666666666667,851.3,0.0,36.0,1.0,36.0,Yes,407-2259,Yes,,,No
9998-HXKO,Male,36.0,669.0,Month-to-Month,Credit Card,2.0,,22.1,0.0,34.0,0.0,7.0,Yes,358-1921,No,,Competitor made better offer,YES
9020-QYOX,Female,27.0,365.0,One Year,Direct Debit,41.0,,536.1,0.0,42.0,0.0,17.0,YES,296-8306,No,,,NO
9578-WCWE,Female,42.0,964.0,Month-to-Month,Direct Debit,,4.583333333333333,663.6,0.0,37.0,0.0,1.0,Yes,376-5201,Yes,,,No
8303-BIWQ,Female,46.0,782.0,One Year,Credit Card,,2.4166666666666665,263.7,50.3,27.0,1.0,1.0,Yes,362-5044,No,,,No
2914-GHWU,Male,54.0,404.0,Month-to-Month,Direct Debit,60.0,,958.3,0.0,35.0,1.0,29.0,Yes,328-9006,No,,,NO
4359-IQHT,Female,22.0,657.0,Month-to-Month,Direct Debit,,0.75,43.0,0.0,11.0,2.0,10.0,Yes,354-7015,No,,,NO
6052-UXGX,Male,27.0,950.0,Two Year,Paper Check,4.0,,27.0,0.0,7.0,2.0,0.0,No,359-7648,No,,,No
9769-EXKO,Female,43.0,378.0,Month-to-Month,Direct Debit,,1.9166666666666667,252.6,0.0,35.0,1.0,2.0,Yes,366-9015,No,,,No
0882-ZCSU,Female,20.0,818.0,Month-to-Month,Direct Debit,1.0,,4.0,0.0,24.0,0.0,10.0,No,414-4276,No,,,No
5763-AFJN,Male,76.0,597.0,Month-to-Month,DIRECT DEBIT,30.0,,394.0,0.0,20.0,1.0,6.0,Yes,356-3448,No,,Attitude of support person,Yes
0939-DEVI,Male,21.0,632.0,One Year,Credit Card,31.0,,277.9,0.0,11.0,0.0,0.0,No,413-4040,No,,,No
7390-PPJX,Male,35.0,913.0,Month-to-Month,Credit Card,9.0,,106.9,0.0,9.0,0.0,0.0,No,373-9108,No,,,No
7863-JWIY,Female,77.0,903.0,Two Year,Credit Card,,2.3333333333333335,199.4,74.5,45.0,0.0,4.0,Yes,405-8753,No,,,No
4140-JQIZ,Female,29.0,357.0,Two Year,Credit Card,72.0,,1012.9,0.0,54.0,0.0,20.0,YES,327-9801,Yes,,,No
5403-YQQN,Female,54.0,465.0,One Year,Direct Debit,,1.6666666666666667,140.6,0.0,6.0,2.0,0.0,NO,300-3758,No,,,NO
2894-KEDQ,Male,37.0,864.0,Month-to-Month,Credit Card,2.0,,15.9,15.6,20.0,0.0,3.0,Yes,332-4130,No,,Competitor made better offer,Yes
4171-SILG,Female,62.0,849.0,Month-to-Month,Direct Debit,,0.25,16.3,0.0,11.0,2.0,0.0,No,421-6694,No,,,No
0921-ZTIV,Female,22.0,542.0,One Year,Direct Debit,61.0,,860.0,199.8,63.0,3.0,30.0,Yes,369-2468,No,,Long distance charges,YES
9572-AICL,Male,58.0,454.0,Month-to-Month,Direct Debit,,0.8333333333333334,68.4,0.0,39.0,4.0,1.0,NO,314-5873,No,,Competitor offered more data,YES
0130-DQAC,Female,44.0,686.0,One Year,Credit Card,,4.083333333333333,741.0,0.0,45.0,0.0,5.0,Yes,253-8900,Yes,,,NO
8630-CTDU,Male,49.0,990.0,Month-to-Month,Paper Check,,0.3333333333333333,63.4,0.0,39.0,2.0,1.0,Yes,352-1798,Yes,,Competitor offered more data,Yes
5077-YBQJ,Male,45.0,457.0,Month-to-Month,Paper Check,6.0,,51.0,30.6,5.0,0.0,0.0,No,388-9285,No,,,No
4458-JTXU,Male,46.0,630.0,One Year,Direct Debit,,2.5833333333333335,496.1,0.0,31.0,2.0,3.0,Yes,392-4680,No,,,No
3537-ZULC,Male,42.0,426.0,Month-to-Month,Direct Debit,,1.9166666666666667,92.2,0.0,10.0,0.0,0.0,No,404-7518,No,,,No
4105-HDCB,Male,29.0,365.0,Month-to-Month,Direct Debit,28.0,,423.9,0.0,47.0,5.0,24.0,Yes,312-6638,No,,Attitude of support person,Yes
3591-HZVD,Male,62.0,698.0,Month-to-Month,Paper Check,8.0,,72.8,46.0,27.0,2.0,13.0,Yes,320-2988,No,,Competitor had better devices,Yes
7431-RTYN,Male,45.0,217.0,Two Year,Credit Card,,4.416666666666667,427.7,0.0,9.0,0.0,0.0,NO,411-6294,No,,,No
2731-EZZS,Male,38.0,892.0,Month-to-Month,Direct Debit,15.0,,118.3,0.0,32.0,0.0,5.0,Yes,267-3814,No,,Lack of self-service on Website,Yes
9928-YEQI,Male,25.0,440.0,One Year,Credit Card,27.0,,217.5,0.0,22.0,0.0,5.0,No,364-3286,Yes,,,No
7103-ALUO,Male,47.0,891.0,Month-to-Month,Direct Debit,,1.0,47.0,0.0,48.0,4.0,4.0,Yes,362-9391,Yes,,Attitude of support person,Yes
7751-FDEJ,Male,51.0,512.0,Month-to-Month,Direct Debit,18.0,,124.8,57.6,62.0,1.0,5.0,Yes,288-2801,No,,Long distance charges,Yes
8382-UYXD,Female,52.0,602.0,Month-to-Month,Credit Card,,0.08333333333333333,14.0,0.0,12.0,0.0,0.0,No,273-7468,No,,,No
5534-SNQL,Male,23.0,857.0,One Year,Credit Card,,3.9166666666666665,472.5,0.0,10.0,2.0,0.0,No,396-7948,No,,,No
3616-FCDP,Female,75.0,881.0,Two Year,Credit Card,,6.0,1006.5,0.0,49.0,0.0,6.0,Yes,260-3597,Yes,,,NO
4968-LPPW,Male,21.0,613.0,Two Year,Credit Card,65.0,,845.5,0.0,15.0,0.0,0.0,No,264-2063,No,,,No
3807-MJAM,Male,23.0,205.0,One Year,Direct Debit,10.0,,48.3,0.0,10.0,0.0,0.0,No,262-6106,No,,,NO
7422-MPJW,Male,61.0,573.0,Month-to-Month,Direct Debit,,0.3333333333333333,21.0,25.8,41.0,3.0,3.0,Yes,277-4046,No,,Service dissatisfaction,Yes
1811-MQNE,Male,62.0,593.0,Two Year,Direct Debit,,5.333333333333333,705.4,0.0,12.0,0.0,0.0,No,363-3938,No,,,No
7601-NADC,Male,83.0,384.0,Month-to-Month,Credit Card,19.0,,97.4,0.0,40.0,5.0,11.0,Yes,328-6240,No,,Attitude of service provider,Yes
2900-FEOU,Female,45.0,425.0,Two Year,Direct Debit,,3.3333333333333335,160.6,0.0,12.0,0.0,0.0,No,329-8115,No,,,No
7595-RFTU,Male,83.0,418.0,Two Year,Credit Card,,0.4166666666666667,78.0,0.0,34.0,0.0,3.0,Yes,397-9486,No,,,No
7806-BBUB,Male,44.0,438.0,Month-to-Month,Direct Debit,1.0,,15.0,0.0,58.0,1.0,4.0,Yes,344-7470,No,,Competitor offered higher download speeds,Yes
8668-ENLD,Female,36.0,364.0,Month-to-Month,Direct Debit,,2.25,380.4,35.1,51.0,1.0,7.0,Yes,410-4739,Yes,,,NO
8041-NXWL,Male,46.0,230.0,Month-to-Month,Credit Card,,0.25,48.7,0.0,39.0,0.0,6.0,Yes,382-3512,No,,,No
9966-SNEI,Female,25.0,760.0,Month-to-Month,Credit Card,1.0,,12.0,0.0,30.0,3.0,10.0,Yes,417-3999,No,,Attitude of support person,Yes
6069-HDMO,Male,72.0,562.0,Two Year,Credit Card,,5.666666666666667,270.1,0.0,77.0,1.0,6.0,No,333-4492,Yes,,,No
2931-SHYA,Male,51.0,261.0,Two Year,Credit Card,,6.083333333333333,292.7,0.0,40.0,0.0,3.0,Yes,393-3635,Yes,,,No
3056-FUKO,Female,40.0,267.0,Month-to-Month,Direct Debit,,1.25,147.8,55.6,47.0,4.0,7.0,YES,380-7624,No,,Don't know,Yes
5793-WVGA,Female,31.0,986.0,Month-to-Month,Credit Card,,3.25,234.7,0.0,30.0,2.0,8.0,YES,323-2798,Yes,,,No
4779-SFPP,Female,32.0,244.0,Month-to-Month,Direct Debit,,1.0,159.3,0.0,13.0,0.0,9.0,Yes,204-900,No,,,NO
9415-HNDU,Female,26.0,482.0,Month-to-Month,Credit Card,24.0,,169.5,0.0,40.0,0.0,16.0,Yes,377-4644,Yes,,,No
3730-IHXQ,Male,70.0,897.0,One Year,Direct Debit,41.0,,526.6,0.0,62.0,1.0,7.0,Yes,366-2997,Yes,,Don't know,Yes
1759-KGJH,Male,19.0,664.0,One Year,Credit Card,,3.4166666666666665,446.7,0.0,25.0,0.0,7.0,YES,352-2899,Yes,,,No
3121-MEGP,Male,24.0,344.0,One Year,Credit Card,,5.0,906.9,0.0,60.0,0.0,26.0,Yes,258-8344,Yes,,,No
6826-TUEE,Female,56.0,943.0,Month-to-Month,Credit Card,,0.25,44.1,9.4,12.0,0.0,0.0,No,400-5424,No,,,No
5203-LPYA,Female,33.0,513.0,Month-to-Month,Credit Card,,0.5,41.0,0.0,13.0,0.0,0.0,No,340-8323,No,,,No
9947-TJJJ,Male,48.0,289.0,Two Year,Credit Card,,5.0,239.4,0.0,8.0,0.0,0.0,NO,377-1293,No,,,No
1712-GSRD,Female,54.0,840.0,One Year,Credit Card,48.0,,724.8,0.0,30.0,0.0,4.0,Yes,374-5353,No,,,No
2238-NENF,Female,84.0,672.0,Month-to-Month,Direct Debit,4.0,,69.3,0.0,15.0,5.0,4.0,Yes,350-3301,No,,Competitor made better offer,Yes
6632-BBJS,Male,77.0,267.0,Month-to-Month,Direct Debit,,2.1666666666666665,234.5,53.6,46.0,1.0,1.0,YES,285-9363,No,,Competitor offered more data,Yes
1402-WQSS,Female,48.0,560.0,One Year,Direct Debit,,1.8333333333333333,305.2,107.8,10.0,0.0,0.0,No,365-1445,No,,,No
6425-HFFL,Male,35.0,728.0,Month-to-Month,Direct Debit,,1.4166666666666667,103.9,0.0,32.0,4.0,7.0,Yes,393-8736,No,,Price too high,Yes
9710-GTGX,Male,21.0,988.0,Month-to-Month,Direct Debit,,5.0,361.2,0.0,29.0,0.0,13.0,No,335-5381,No,,,No
4859-PJTF,Male,53.0,402.0,Two Year,Direct Debit,,3.4166666666666665,577.6,0.0,13.0,0.0,0.0,NO,339-4812,No,,,No
8667-ZPCR,Female,54.0,616.0,Month-to-Month,Direct Debit,,1.1666666666666667,71.9,0.0,31.0,0.0,5.0,Yes,401-1264,No,,,No
9039-LTDP,Male,76.0,973.0,One Year,Credit Card,,0.16666666666666666,20.9,0.0,55.0,0.0,4.0,No,370-3359,Yes,,,No
8748-WVNN,Male,32.0,291.0,One Year,Paper Check,,2.75,520.7,0.0,39.0,0.0,1.0,Yes,269-6873,Yes,,Competitor had better devices,Yes
7507-BFJR,Male,74.0,217.0,Month-to-Month,Direct Debit,,1.9166666666666667,337.6,213.1,50.0,3.0,4.0,Yes,393-6733,No,,Competitor made better offer,YES
8462-NTPU,Female,25.0,863.0,One Year,Paper Check,33.0,,521.8,0.0,7.0,0.0,0.0,No,306-5231,No,,,NO
1739-NPSR,Male,67.0,585.0,Month-to-Month,Direct Debit,,3.0,473.2,235.8,63.0,4.0,15.0,No,352-2270,No,,Don't know,YES
1789-BFVK,Male,24.0,592.0,Two Year,Credit Card,,5.833333333333333,975.0,0.0,30.0,2.0,10.0,Yes,388-4571,Yes,,,NO
6600-GABV,Male,47.0,248.0,Two Year,Credit Card,,1.0833333333333333,118.0,0.0,10.0,1.0,0.0,No,418-8770,No,,,No
5202-CFGH,Male,35.0,567.0,Month-to-Month,Direct Debit,,0.08333333333333333,5.0,2.6,41.0,3.0,1.0,Yes,349-2729,Yes,,Extra data charges,Yes
3136-AOSU,Female,25.0,586.0,One Year,Direct Debit,46.0,,275.1,112.2,38.0,0.0,36.0,Yes,326-10849,No,,Don't know,Yes
2273-IYUB,Male,67.0,355.0,Two Year,Credit Card,,4.166666666666667,445.7,0.0,7.0,2.0,0.0,No,385-3263,No,,,No
7763-KKJY,Female,48.0,211.0,Month-to-Month,Direct Debit,9.0,,75.8,0.0,43.0,3.0,2.0,Yes,281-6164,No,,Competitor offered more data,Yes
7727-IWBQ,Male,51.0,763.0,One Year,Direct Debit,72.0,,358.3,252.0,50.0,0.0,5.0,YES,369-5810,Yes,,,No
7818-RPFD,Male,33.0,741.0,Month-to-Month,Credit Card,,3.9166666666666665,235.0,0.0,62.0,2.0,1.0,Yes,320-6703,No,,Competitor offered more data,Yes
1387-XJRV,Male,51.0,483.0,One Year,Credit Card,,0.6666666666666666,47.7,0.0,21.0,0.0,5.0,YES,342-1331,No,,,No
6058-RDLY,Male,68.0,831.0,Two Year,Credit Card,,2.75,435.1,0.0,11.0,0.0,0.0,No,389-1856,No,,,No
9848-BXBL,Female,20.0,558.0,Month-to-Month,Direct Debit,,0.08333333333333333,15.0,4.3,27.0,4.0,17.0,YES,366-5829,No,,Competitor made better offer,Yes
9039-AQSW,Female,43.0,690.0,Month-to-Month,Direct Debit,,0.8333333333333334,48.7,0.0,30.0,0.0,3.0,YES,369-2625,No,,,No
5604-JBZP,Female,34.0,783.0,Month-to-Month,Direct Debit,16.0,,230.1,0.0,43.0,2.0,9.0,Yes,405-4109,No,,Competitor had better devices,Yes
2652-FMNI,Male,62.0,688.0,One Year,Paper Check,,4.916666666666667,468.4,0.0,12.0,0.0,0.0,NO,385-2683,No,,,No
9053-YVNO,Male,34.0,353.0,Two Year,Credit Card,59.0,,883.0,0.0,8.0,0.0,0.0,No,366-7064,No,,,No
9571-ODTJ,Female,41.0,283.0,One Year,Direct Debit,16.0,,97.4,0.0,10.0,1.0,0.0,NO,404-3106,No,,,No
0333-JKXT,Male,51.0,564.0,Month-to-Month,Credit Card,12.0,,108.6,0.0,33.0,0.0,1.0,Yes,333-3010,No,,,No
1557-GSPG,Female,67.0,298.0,One Year,Direct Debit,53.0,,316.6,49.5,51.0,0.0,1.0,Yes,330-7483,No,,Competitor made better offer,Yes
2689-UYBB,Male,44.0,374.0,One Year,Direct Debit,48.0,,726.9,142.1,43.0,0.0,6.0,No,405-7119,No,,,No
1209-XNJA,Female,51.0,203.0,Month-to-Month,CREDIT CARD,16.0,,176.6,0.0,35.0,0.0,3.0,Yes,299-4014,Yes,,,No
9391-QWXD,Female,38.0,441.0,Month-to-Month,Direct Debit,66.0,,921.6,475.2,56.0,1.0,6.0,No,282-8820,Yes,,,No
7428-ZNPE,Female,63.0,491.0,One Year,Credit Card,,5.5,596.6,0.0,32.0,0.0,4.0,Yes,316-4324,No,,,No
3518-KZSV,Female,60.0,645.0,Month-to-Month,Credit Card,,3.1666666666666665,225.7,0.0,32.0,0.0,2.0,Yes,274-2462,Yes,,,No
6636-ADIT,Male,34.0,461.0,Month-to-Month,Credit Card,1.0,,13.0,0.0,23.0,2.0,6.0,Yes,336-1574,No,,,No
7429-MPQF,Male,35.0,896.0,Two Year,Credit Card,44.0,,710.2,236.1,10.0,1.0,0.0,No,354-1558,No,,,No
4273-XQXD,Male,73.0,349.0,Two Year,Credit Card,,6.0,288.0,0.0,69.0,0.0,1.0,Yes,365-6131,Yes,,,False
7295-BRJO,Female,69.0,827.0,Month-to-Month,Direct Debit,,1.1666666666666667,181.4,0.0,48.0,3.0,2.0,Yes,334-2510,No,,Competitor made better offer,Yes
3028-WEEF,Female,51.0,916.0,Month-to-Month,Direct Debit,,0.6666666666666666,63.4,84.8,45.0,1.0,9.0,Yes,374-3534,No,,Don't know,Yes
5935-NUKQ,Male,27.0,487.0,Two Year,Direct Debit,,6.0,788.9,0.0,40.0,0.0,12.0,YES,325-3328,Yes,,,No
0485-KOAV,Male,24.0,649.0,Month-to-Month,Credit Card,,1.75,149.7,0.0,32.0,0.0,14.0,YES,333-3595,No,,,No
5835-RVHU,Male,63.0,826.0,Month-to-Month,Direct Debit,,5.0,357.9,0.0,28.0,1.0,8.0,Yes,416-3257,No,,,No
1400-MRQW,Female,30.0,991.0,Two Year,Credit Card,,3.3333333333333335,316.1,0.0,13.0,1.0,0.0,No,412-9357,No,,,No
0494-IFPL,Male,26.0,500.0,Month-to-Month,Direct Debit,63.0,,945.2,237.3,12.0,0.0,38.0,No,348-6659,Yes,,,No
5786-RNMU,Female,37.0,443.0,Month-to-Month,Direct Debit,,0.16666666666666666,12.0,4.1,24.0,0.0,6.0,Yes,417-3257,No,,,NO
7015-YUGO,Female,72.0,666.0,One Year,Direct Debit,,2.25,406.8,0.0,13.0,0.0,29.0,No,330-9833,No,,,No
8700-MPPJ,Male,58.0,948.0,One Year,Paper Check,,2.25,134.8,0.0,10.0,1.0,0.0,No,337-3932,No,,,No
2989-PXMQ,Female,44.0,324.0,One Year,Direct Debit,,3.8333333333333335,231.2,0.0,53.0,1.0,6.0,Yes,341-6743,Yes,,,NO
4852-YKDI,Female,70.0,784.0,Month-to-Month,Direct Debit,,4.0,285.7,388.8,42.0,0.0,2.0,No,320-8741,Yes,,,No
1756-YCXA,Female,22.0,207.0,Month-to-Month,Direct Debit,,0.8333333333333334,159.8,0.0,28.0,0.0,15.0,YES,355-1113,No,,,No
7750-SIBE,Female,59.0,476.0,Month-to-Month,Direct Debit,,0.75,47.3,32.4,34.0,1.0,3.0,Yes,238-3251,No,,Competitor made better offer,Yes
6078-FJZF,Female,51.0,493.0,One Year,Credit Card,67.0,,266.6,448.9,41.0,0.0,4.0,No,360-3851,Yes,,,No
4203-THWA,Female,81.0,590.0,Month-to-Month,Direct Debit,13.0,,158.9,55.0,31.0,1.0,1.0,No,347-4062,No,,,No
4743-HOIA,Male,82.0,599.0,Two Year,Credit Card,,4.083333333333333,491.5,215.6,64.0,0.0,2.0,Yes,371-5875,Yes,,,No
8933-FJDW,Male,46.0,313.0,Month-to-Month,Direct Debit,,2.4166666666666665,290.3,0.0,24.0,0.0,3.0,No,339-10325,No,,,No
7080-JMCD,Male,44.0,333.0,Two Year,Credit Card,,1.6666666666666667,303.8,0.0,6.0,0.0,0.0,No,309-4328,No,,,No
7642-DUOZ,Male,42.0,817.0,One Year,Credit Card,40.0,,323.4,0.0,6.0,0.0,0.0,No,343-9402,No,,,No
1602-WUGH,Male,74.0,409.0,Two Year,Direct Debit,,0.08333333333333333,9.0,0.0,16.0,0.0,2.0,Yes,299-5770,No,,,No
2766-OMGR,Male,63.0,852.0,Month-to-Month,Credit Card,1.0,,16.0,0.0,27.0,0.0,4.0,Yes,408-3384,Yes,,,No
3189-LNYV,Male,47.0,624.0,Two Year,Credit Card,42.0,,464.3,0.0,23.0,0.0,2.0,Yes,327-9289,Yes,,,No
5739-YBPF,Female,35.0,327.0,Month-to-Month,Direct Debit,16.0,,113.5,0.0,33.0,3.0,15.0,Yes,377-7399,No,,Don't know,YES
3698-RIYD,Female,32.0,709.0,Two Year,Credit Card,,4.916666666666667,413.8,0.0,37.0,0.0,3.0,Yes,311-7997,Yes,,,NO
4339-UOVC,Male,38.0,243.0,Two Year,Credit Card,,3.1666666666666665,455.7,123.5,16.0,2.0,0.0,No,341-3180,No,,,No
4029-PZBQ,Female,57.0,733.0,Month-to-Month,Direct Debit,,1.0833333333333333,115.0,68.5,15.0,2.0,2.0,Yes,364-7622,No,,,No
9215-PRKX,Female,31.0,765.0,Month-to-Month,Direct Debit,,1.8333333333333333,153.1,75.9,27.0,4.0,5.0,No,379-5885,No,,Service dissatisfaction,Yes
5206-CECI,Male,34.0,408.0,Month-to-Month,Credit Card,,1.6666666666666667,122.7,51.2,45.0,4.0,1.0,Yes,378-8567,No,,Service dissatisfaction,YES
5197-LMQF,Male,30.0,691.0,Two Year,Direct Debit,67.0,,1069.6,509.2,32.0,0.0,38.0,Yes,323-1189,Yes,,,No
9286-ZJAG,Male,67.0,205.0,One Year,Direct Debit,64.0,,1024.2,0.0,45.0,1.0,5.0,No,326-8100,No,,Price too high,Yes
7167-KRAP,Male,35.0,554.0,Month-to-Month,Direct Debit,,0.25,35.2,9.8,14.0,0.0,9.0,Yes,315-1860,No,,Competitor offered higher download speeds,Yes
5527-RIAL,Female,51.0,871.0,Month-to-Month,Direct Debit,,5.166666666666667,741.8,7.1,54.0,0.0,8.0,No,386-9141,Yes,,Price too high,Yes
6778-IZKQ,Male,58.0,363.0,Two Year,Direct Debit,55.0,,381.6,0.0,13.0,2.0,0.0,No,352-8304,No,,,No
3035-PIXU,Female,62.0,279.0,Two Year,Credit Card,54.0,,761.2,71.3,10.0,0.0,0.0,No,390-4789,No,,,No
7901-AVPH,Female,32.0,716.0,Month-to-Month,Direct Debit,17.0,,84.9,0.0,53.0,3.0,13.0,Yes,315-9474,No,,Attitude of support person,YES
6174-ALHW,Female,29.0,362.0,Month-to-Month,Credit Card,1.0,,8.0,0.0,13.0,0.0,0.0,No,276-3662,No,,,No
6112-UTCV,Male,40.0,915.0,One Year,Direct Debit,,4.666666666666667,563.3,0.0,27.0,0.0,5.0,Yes,338-6962,No,,,Yes
0095-ATWV,Male,39.0,641.0,Two Year,Credit Card,,4.916666666666667,236.0,213.9,43.0,0.0,29.0,Yes,352-5797,No,,,No
9614-KSUD,Female,36.0,751.0,Two Year,Credit Card,65.0,,259.4,0.0,21.0,0.0,8.0,Yes,277-4563,No,,,NO
1679-XARV,Female,68.0,295.0,Month-to-Month,Credit Card,,1.5833333333333333,153.3,32.3,9.0,2.0,0.0,No,341-9443,No,,,No
0473-XRIZ,Female,52.0,282.0,Two Year,Credit Card,45.0,,313.3,0.0,17.0,0.0,6.0,Yes,256-7787,Yes,,,No
8604-KAHC,Female,41.0,222.0,Two Year,Paper Check,,1.9166666666666667,277.8,0.0,12.0,0.0,0.0,NO,421-6268,No,,,No
9488-PSYP,Male,51.0,465.0,One Year,Credit Card,,4.25,459.7,125.5,49.0,1.0,6.0,Yes,341-2360,No,,,No
8779-CHWC,Male,44.0,753.0,Two Year,Credit Card,,5.75,411.8,0.0,32.0,2.0,8.0,Yes,299-4935,No,,,No
1447-DWUK,Female,43.0,941.0,Month-to-Month,Direct Debit,,1.3333333333333333,93.2,0.0,49.0,0.0,9.0,Yes,352-5542,No,,,No
0354-YKWC,Male,19.0,302.0,Month-to-Month,Credit Card,,0.3333333333333333,22.6,9.6,13.0,0.0,0.0,No,422-4956,No,,,No
7332-NQRE,Male,23.0,779.0,Month-to-Month,Credit Card,33.0,,262.6,0.0,25.0,0.0,13.0,YES,380-3642,No,,,NO
0241-GBUV,Female,72.0,844.0,One Year,Direct Debit,55.0,,384.1,0.0,64.0,0.0,9.0,Yes,336-3381,Yes,,,No
3300-SBTG,Male,55.0,486.0,Month-to-Month,Direct Debit,,0.9166666666666666,43.3,30.4,32.0,0.0,4.0,Yes,339-7541,No,,,No
5961-TIWG,Male,42.0,640.0,One Year,Credit Card,,5.583333333333333,1073.6,0.0,22.0,0.0,12.0,Yes,278-9513,Yes,,,No
0028-UCUF,Female,68.0,845.0,Two Year,Credit Card,,4.833333333333333,753.5,0.0,51.0,0.0,1.0,Yes,333-7631,No,,,No
7364-WNXN,Male,66.0,906.0,One Year,Credit Card,,1.3333333333333333,109.6,27.5,18.0,1.0,2.0,No,342-7358,Yes,,,No
7920-ZYLE,Male,25.0,679.0,Month-to-Month,Paper Check,24.0,,361.4,0.0,46.0,2.0,15.0,Yes,335-2261,Yes,,Competitor made better offer,Yes
3940-PPVI,Female,38.0,264.0,One Year,Credit Card,,1.0833333333333333,194.2,44.6,36.0,0.0,4.0,Yes,396-6390,No,,,No
8706-SGZO,Male,48.0,696.0,Month-to-Month,Direct Debit,,1.1666666666666667,130.2,34.7,6.0,0.0,0.0,No,319-10172,No,,,NO
0293-AIHG,Male,43.0,947.0,Month-to-Month,Paper Check,,0.08333333333333333,7.0,5.7,16.0,2.0,1.0,Yes,312-10021,No,,Extra data charges,Yes
4089-HGOC,Female,44.0,455.0,Two Year,CREDIT CARD,,4.916666666666667,354.5,132.2,35.0,0.0,6.0,Yes,339-9976,No,,,No
7208-MGSK,Male,63.0,267.0,Two Year,Paper Check,,3.3333333333333335,600.6,114.0,11.0,0.0,0.0,No,366-9430,No,,,NO
6865-QBEI,Male,42.0,458.0,Two Year,Direct Debit,73.0,,1162.9,0.0,36.0,0.0,4.0,YES,356-2093,Yes,,,No
0560-SJCW,Male,50.0,822.0,One Year,Credit Card,,0.6666666666666666,105.0,0.0,16.0,0.0,5.0,Yes,360-6445,Yes,,,NO
7167-HXEE,Male,33.0,484.0,Month-to-Month,Direct Debit,2.0,,19.1,7.2,45.0,5.0,15.0,Yes,340-5053,No,,Don't know,Yes
1663-VLKD,Male,68.0,317.0,Month-to-Month,Direct Debit,46.0,,510.3,0.0,47.0,2.0,10.0,Yes,384-2372,No,,,No
8705-UDYY,Female,22.0,569.0,Month-to-Month,Direct Debit,,0.16666666666666666,22.3,0.0,18.0,1.0,12.0,Yes,333-7225,No,,,No
6824-MNQS,Male,35.0,418.0,Two Year,Credit Card,,1.8333333333333333,108.6,0.0,10.0,0.0,0.0,NO,271-9461,No,,,No
3091-YEPY,Male,30.0,392.0,One Year,Credit Card,,2.4166666666666665,173.0,0.0,13.0,0.0,0.0,No,352-5787,No,,,No
5676-PTZX,Male,49.0,976.0,One Year,Paper Check,,2.75,431.3,0.0,21.0,0.0,3.0,Yes,371-7191,Yes,,,No
1161-MUIH,Female,79.0,607.0,Month-to-Month,Direct Debit,27.0,,375.6,167.4,52.0,3.0,13.0,Yes,321-7812,No,,Competitor had better devices,Yes
8362-WLIZ,Prefer not to say,53.0,899.0,Month-to-Month,Direct Debit,,2.6666666666666665,126.3,0.0,10.0,0.0,0.0,No,377-1765,No,,,No
9207-CGDD,Male,26.0,363.0,Two Year,Direct Debit,,6.0,572.0,0.0,50.0,0.0,10.0,Yes,314-3878,Yes,,,NO
2875-NDQU,Female,55.0,226.0,One Year,Credit Card,12.0,,70.7,0.0,36.0,4.0,4.0,Yes,361-8922,No,,Don't know,Yes
7137-DNNW,Female,27.0,529.0,Month-to-Month,Credit Card,,0.25,52.4,5.5,19.0,1.0,15.0,Yes,405-3335,No,,,No
2829-FQVC,Male,60.0,243.0,Two Year,Direct Debit,68.0,,340.0,0.0,37.0,1.0,10.0,YES,398-3004,No,,,No
1521-TKTJ,Female,29.0,503.0,Month-to-Month,Direct Debit,1.0,,5.0,0.0,47.0,4.0,10.0,Yes,328-2202,No,,Attitude of support person,Yes
5924-RATW,Female,47.0,398.0,Month-to-Month,CREDIT CARD,,0.08333333333333333,8.0,4.2,9.0,1.0,0.0,No,361-10277,No,,,No
1578-BKRM,Male,66.0,627.0,Month-to-Month,Credit Card,,3.0,290.3,0.0,31.0,1.0,8.0,YES,383-6544,No,,,NO
0017-RIOV,Female,36.0,316.0,Month-to-Month,Direct Debit,,2.0,241.3,0.0,40.0,1.0,2.0,Yes,306-4390,No,,,No
9230-VDSG,Female,75.0,561.0,Two Year,Credit Card,,4.0,289.3,0.0,40.0,1.0,5.0,Yes,340-1876,Yes,,,NO
7293-LCWA,Female,20.0,967.0,Month-to-Month,Direct Debit,,0.3333333333333333,48.4,7.4,28.0,0.0,24.0,Yes,405-6943,No,,,No
5516-PLEG,Male,35.0,857.0,Month-to-Month,Credit Card,2.0,,6.4,0.0,34.0,0.0,6.0,Yes,374-4633,No,,,No
7550-ECEB,Female,50.0,249.0,Month-to-Month,Paper Check,,0.08333333333333333,10.0,3.7,40.0,1.0,3.0,Yes,396-2335,No,,,No
6254-LMFV,Male,29.0,550.0,One Year,Credit Card,,1.25,183.3,0.0,22.0,0.0,24.0,YES,413-3412,No,,,NO
4011-FESI,Male,76.0,347.0,Month-to-Month,Direct Debit,,0.08333333333333333,8.0,0.0,24.0,5.0,4.0,Yes,408-1340,No,,Attitude of support person,Yes
6677-UAIY,Female,29.0,827.0,One Year,Credit Card,73.0,,366.6,0.0,36.0,0.0,16.0,YES,336-7600,Yes,,,No
